symbol,type,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year
ADBE,A,2016-05-24,98.6336972808838,95.58000183105469,91.79992309592137,119.13501983577106,3.0,6.928437616509056,-3.095996129125075,False,below_sma,17,2016
ADBE,A,2016-09-01,101.87100151062012,108.54000091552734,96.487905942893,118.02028821380149,3.0,5.284227589699246,6.546514028540279,True,timeout,20,2016
ADBE,A,2016-11-07,107.57340362548828,103.20528606912754,103.20528606912754,114.1255799600294,1.5,4.060592496978285,-4.060592496978285,False,stop,3,2016
ADBE,A,2016-11-09,106.78140060424805,103.12289095612603,103.12289095612603,112.26916507643108,1.5,3.4261675042839577,-3.4261675042839577,False,stop,1,2016
ADBE,B,2017-05-19,135.06569274902344,142.8203973062527,129.89588971087062,142.8203973062527,1.5000000000000027,3.8276211619180405,5.7414317428770705,True,target,4,2017
ADBE,B,2017-11-30,179.6553012084961,173.51378299418252,173.51378299418252,188.86757852996647,1.5,3.4185009699135662,-3.4185009699135662,False,stop,2,2017
ADBE,B,2018-01-12,193.09950302124022,183.47187984820613,183.47187984820613,221.9823725403425,3.0,4.985835293410927,-4.985835293410927,False,stop,16,2018
ADBE,B,2018-05-09,237.34260543823243,247.50999450683594,225.79585692890646,271.9828509662103,3.0,4.865012957958349,4.28384488736454,True,timeout,20,2018
ADBE,B,2019-04-23,275.70509033203126,278.07000732421875,264.4643107268753,309.4274291474992,3.0,4.077102672140991,0.8577705218788025,True,timeout,20,2019
ADBE,A,2019-05-15,274.05180725097654,259.1466942625815,259.1466942625815,296.40947673356914,1.500000000000002,5.438793904666701,-5.438793904666701,False,stop,12,2019
ADBE,A,2019-06-19,288.29789154052736,310.0799865722656,265.83037574191167,321.9991652384509,1.5000000000000013,7.793159942502504,7.555412533662688,True,timeout,20,2019
ADBE,B,2020-08-25,479.58569274902345,527.2816654072321,463.68703519628724,527.2816654072321,3.0000000000000036,3.315081703460301,9.945245110380913,True,target,1,2020
ADBE,A,2021-08-19,631.2833734130859,654.47998046875,586.0187674592852,699.180282343787,1.5000000000000013,7.170251563742896,3.674515761479625,True,timeout,20,2021
ADBE,A,2021-08-20,640.8666265869141,641.2899780273438,586.8659779406253,802.8685725257806,3.0,8.426191411133697,0.06605921152179718,True,timeout,20,2021
ADBE,A,2021-11-04,667.3392169189453,607.8026634967584,607.8026634967584,845.948877185506,3.0,8.921482795071247,-8.921482795071247,False,stop,20,2021
ADBE,B,2023-07-18,526.9076806640625,506.0770372627096,506.0770372627096,589.399610868121,3.0,3.953376305902387,-3.953376305902387,False,stop,19,2023
AMD,B,2021-07-28,96.95070030212402,108.30000305175781,87.28034823518435,125.96175650294303,3.0,9.97450460574735,11.706261753928919,True,timeout,20,2021
AFL,A,2016-05-18,27.219559879302977,27.41879653930664,25.555334590331995,29.71589781275945,1.5,6.11407861240407,0.7319613575205434,True,timeout,20,2016
AFL,A,2016-05-24,27.436528358459473,28.22769546508789,25.821934152966865,32.280310974937294,2.999999999999998,5.884834204961584,2.8836268797997477,True,timeout,20,2016
AFL,B,2016-06-30,28.46613492965698,28.801485061645508,26.733343697599857,33.664508625828354,3.0,6.087202341796828,1.1780669655968916,True,timeout,20,2016
AFL,A,2017-07-28,32.06159397125244,33.18839645385742,30.791106978012596,33.96732446111221,1.5000000000000013,3.962644509748983,3.514493021199478,True,timeout,20,2017
AFL,B,2017-08-01,32.67147285461426,33.51655578613281,31.402847931737142,36.477347623245606,3.0,3.8829743872350266,2.5866080028871474,True,timeout,20,2017
